srcStateName,srcYear,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate per lakh person,YearCode,Year
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Importation of Girls from Foreign Country (Sec.366-B IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) | Kidnapping and Abduction (Sec.363 IPC),457,476,3.4,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |A) Missing Children Deemed as Kidnapped,72,73,1.6,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |B) Other Kidnapping & Abduction,385,403,2.9,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Total),1137,1157,8.5,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction for the Purpose of Begging (Sec.363 A),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction in order to Murder (Sec.364 IPC),16,16,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping for Ransom (Sec.364A IPC),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,"Kidnapping and Abduction |Other Kidnapping & Abduction (Sec.365, 367, 368, 369)",155,155,1.2,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Kidnapping and Abduction |Procuration of Minor Girls (Sec.366A),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,"Miscarriage, Infanticide, Foeticide and Abandonment (Sec.313 to 318 IPC)",22,24,0.345911949685535,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Murder (Sec.302 IPC),181,212,1.3,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Offences Affecting the Human Body (Total),9119,9310,67.9,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Rape (Sec.376 IPC),320,328,5.0314465408805,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Selling of Minors for Prostitution (Sec.372 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Unnatural Offences (Sec.377 IPC),23,23,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences affecting the Human Body,Wrongful Restraint/Confinement (Sec.341 to 348 IPC),1155,1174,8.6,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Attempt to Commit Dacoity/Robbery (Sec.393 & 398 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |A) Day Time,303,304,2.3,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |B) Night,1028,1034,7.7,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |Burglary (Total),1331,1338,9.9,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Criminal Breach of Trust (Sec.406 to 409 IPC),65,68,0.5,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Criminal Misappropriation (Sec.403/404 r/w Other IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Dacoity |B) Dacoity with Murder (Sec.396 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Dacoity |Dacoity (Total),9,9,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Dishonestly Receiving/Dealing-in Stolen Property (Sec.411 to 414 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Extortion & Blackmailing (Sec.384 to 389 IPC),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Offences against Property (Total),3346,3366,24.9,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2020,Total Cognizable IPC crimes,,381849,85483,552,2020,"Calendar Year (Jan - Dec), 2020"
Jammu & Kashmir,2018,Offences against Property,Theft (Section 379 IPC) |A) Auto/Motor Vehicle Theft,957,958,7.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Theft (Section 379 IPC) |B) Other Thefts,900,903,6.70141474311243,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Property,Theft (Section 379 IPC) |Theft (Total),1857,1861,13.8,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Affray (Sec.159 & 160 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Offences against Public Tranquillity (Total),1461,2038,10.9,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Offences promoting enmity between different groups |A) Promoting enmity between groups (Sec.153A & 153B IPC),28,28,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018,Offences affecting the Human Body,Murder (Sec.302 IPC),1879,1910,2.3,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,"Offences promoting enmity between different groups |B) Imputation, assertions prejudicial to national integration (Sec.153 B IPC)",3,3,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Offences promoting enmity between different groups |Offences promoting enmity between different groups (Total),31,31,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |A) Communal/Religious,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |B) Sectarian,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |C) Industrial,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |D) Political,3,31,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |E) Caste Conflict,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |F) Agrarian,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |G) Students,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |H) Vigilants,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |I) Money Dispute,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |J) Water Dispute,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |K) Land/Property Dispute,223,333,1.7,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |L) Family Disputes,150,164,1.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |M) Enmity/Rivalry,23,23,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |N) Electricity/Power Supply Disputes,11,11,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |O) Rioting while in Aandolan/Morcha,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |P) Rioting/Attacks on Police Personnel or Govt Servants,804,1205,6,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |Q) Other Rioting,216,240,1.6,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |Rioting (Total),1430,2007,10.7,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against Public Tranquillity,"Unlawful Assembly (Sec.143, 144 & 145)",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against State,Offences against State |Offences against the State (Total),22,26,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against State,"Offences against State |Others (Sec.121, 121A, 122 & 123 IPC)",10,14,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Offences against State,Offences against State |Sedition (Sec.124A IPC),12,12,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Other IPC Crimes,Other IPC Crimes,2055,2158,15.3,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Total Cognizable IPC crimes,Total Cognizable IPC crimes,24216,26909,180.4,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,"Arson (Sec.435, 436 & 438 IPC)",167,167,0.5,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Cheating by Impersonation (Sec.419 IPC),12,12,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),7,7,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Criminal Intimidation (Sec.506 r/w Other IPC Crimes),310,310,0.8,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Criminal Trespass (Sec.447 to 452 IPC),142,142,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Cruelty by Husband or his Relatives (Sec.498-A IPC),1032,1052,5.71428571428571,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Disobedience to order duly promulgated by Public Servant (Sec.188),22,22,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Harbouring an Offender (Sec.212/216/216A IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Insult to the Modesty of Women (Sec.509 IPC),37,37,0.204872646733112,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),3376,3537,9.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Obscene Acts and Songs at Public Places (Sec.294),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018,Total Cognizable IPC crimes,Total Cognizable IPC crimes,48,46,71.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Obstruction on Public way (Sec.283 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Offences related to Mischief (Sec.428 to 433),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),2,2,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),38,38,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Offences relating to Religion (Sec.295 to 297),21,24,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |A) Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),736,823,2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |B) Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),381,397,1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |Rash Driving on Public way (Total),1559,1697,4.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |B) Night,1549,1566,4.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Rash Driving on Public way |C) Causing Grievous Hurt by Rash/Negligent Driving on Public way(Sec.279 r/w 338 IPC),442,477,1.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Miscellaneous IPC Crimes,Sale of obscene Books/Objects (Sec.292 & 293),26,26,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Counterfeiting |A) Counterfeit Coin (Sec.231-235,237,238-240 & 242-254 IPC)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,Counterfeiting |B) Counterfeiting Government Stamp (Sec.255 to 260 IPC),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,Counterfeiting |C) Counterfeiting of Seal or Mark (Sec.472/473 IPC),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,Counterfeiting |Counterfeiting (Total),9,9,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,Counterfeiting |D) Counterfeit Currency & Bank notes (Sec.489-A to 489-E IPC),7,7,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Cheating (Sec.420 IPC)",3003,3187,8.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Forgery",414,480,1.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Forgery, Cheating & Fraud (Total)",3824,4076,10.3,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |Fraud (Sec.420 r/w Sec.465,468-471 IPC/IT Act)",407,409,1.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |a) Bank",33,33,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |b) ATMs",171,171,0.5,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |c) Credit Card/Debit Card",59,61,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |d) Other Frauds",144,144,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences Relating to Documents & Property Marks,Offences Relating to Documents & Property Marks (Total),3833,4085,10.3,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),68,87,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women (Sec.354 IPC),936,942,5.18272425249169,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total),1378,1384,7.63012181616833,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),250,250,1.38427464008859,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |Sexual Harassment (Sec.354A IPC) (Total),166,166,0.919158361018826,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |a) at Work or Office Premises,30,30,0.166112956810631,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |b) In Public Transport System,9,9,0.0498338870431894,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |c) In Shelter Homes for women and Children,29,29,0.160575858250277,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |d) Other Places,98,98,0.542635658914729,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Stalking (Sec.354D IPC),21,21,0.116279069767442,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Voyeurism (Sec.354C IPC),5,5,0.0276854928017719,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Attempt to Commit Murder (Sec.307 IPC),1901,1941,5.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Attempt to Commit Rape (Sec.376/511 IPC),251,255,1.38981173864895,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Attempt to Commit Suicide (Sec.309 IPC),7,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Attempt to commit Culpable Homicide (Sec.308 IPC),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Buying of Minors for Prostitution (Sec.373 IPC),5,5,0.0380228136882129,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Causing Death by Negligence (Sec.304-A IPC) (Total),3573,3656,9.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Medical Negligence,63,63,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,Offences against Property,Robbery (Sec.392/394/397 IPC),7430,7515,6.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence of Civic Bodies,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Rail Accidents,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |A) Hit and Run,1870,1885,5,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |B) Other Accidents (other than Hit and Run),1316,1384,3.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |Deaths due to Negligence relating to Road Accidents (Total),3186,3269,8.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to other Negligence,324,324,0.9,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Culpable Homicide not amounting to Murder (Sec.304 IPC),63,63,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Dowry Deaths (Sec.304-B IPC),252,266,1.3953488372093,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Exploitation of Trafficked Person 370A IPC),2,2,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Human Trafficking (U/S 370),131,138,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |A) Voluntarily causing grievous hurt (Sec.325 IPC),1400,1569,3.8,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |B) Voluntarily causing grievous hurt by dangerous weapons or means (Sec.326 IPC),345,476,0.9,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |C) Acid Attack (Sec.326A IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |D) Attempt to Acid Attack (Sec.326B IPC),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |E) Voluntarily Causing Grievous hurt/Force to deter public servant from his duty (Sec.333/353 IPC),40,40,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |F) Causing Grievous Hurt by act endangering life/safety of others (Sec.338 IPC),8,8,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,"Hurt |Grievous Hurt |G) Other Grievous Hurt (Sec.329, 331 & 335)",154,154,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |Grievous Hurt (Total),1948,2248,5.3,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Hurt (Simple +Grievous),8012,8598,21.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Simple Hurt |A) Voluntarily Causing Simple Hurt (Sec.323 r/w 341/342),4850,5136,13.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Simple Hurt |B) Voluntarily causing hurt by Dangerous weapons or means (Sec.324 IPC),206,206,0.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Simple Hurt |C) Voluntarily Causing hurt/Force to deter public servant from his duty (Sec.332/353 IPC),47,47,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Simple Hurt |D) Causing Hurt by act endangering life/safety of others (Sec.336/337),1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,"Hurt |Simple Hurt |E) Other Simple Hurt (Sec.327, 328, 330 & 334)",960,960,2.6,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Hurt |Simple Hurt |Simple Hurt (Total),6064,6350,16.4,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction of Women to compel her for marriage (Sec.366 IPC),465,475,2.57475083056478,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Importation of Girls from Foreign Country (Sec.366-B IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) | Kidnapping and Abduction (Sec.363 IPC),472,476,1.3,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |A) Missing Children Deemed as Kidnapped,29,29,0.220532319391635,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |B) Other Kidnapping & Abduction,443,447,1.2,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Total),1741,1760,4.7,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction for the Purpose of Begging (Sec.363 A),2,2,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction in order to Murder (Sec.364 IPC),35,35,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping for Ransom (Sec.364A IPC),43,46,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,"Kidnapping and Abduction |Other Kidnapping & Abduction (Sec.365, 367, 368, 369)",372,374,1,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,Offences affecting the Human Body,Kidnapping and Abduction |Procuration of Minor Girls (Sec.366A),352,352,2.67680608365019,2018,"Calendar Year (Jan - Dec), 2018"
