srcStateName,srcYear,Crime head Special & Local Laws (SLL) Category,Crime head Special & Local Laws (SLL) Sub-category,Incidence of Special & Local Laws (SLL) crimes,Victims of Special & Local Laws (SLL) crimes,Special & Local Laws (SLL) Crime Rate,YearCode,Year
Assam,2018,Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total),323,,0.9,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 | a) Legal/ Licensed Arms",6,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",230,,0.7,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |The Arms Act, 1959 (Total)",289,,0.8,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |b) Illegal/ Unlicensed Arms",224,,0.7,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959|Other Arms",59,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,Children Related – Acts (Total),1909,1922,16.0555088309504,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,"The Child Labour Prohibition & Regulation Act, 1986",39,40,0.328006728343145,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,"The Juvenile Justice Care and Protection of Children Act, 2000 & 2015",60,60,0.504625735912532,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,"The Pre-Natal Diagnostic Techniques Reg and Prev of Misuse Act, 1994",1,1,0.00841042893187553,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,"The Prohibition of Child Marriage Act, 2006",88,88,0.740117746005046,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Children Related - Acts,"The Protection of Children from Sexual Offences Act, 2012",1721,1733,14.4743481917578,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Crime Against Women - Related Acts,Crime Against Women – Related Acts (Total),1210,1213,7.24550898203593,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",1138,1138,6.81437125748503,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Crime Against Women - Related Acts,"The Immoral Traffic Prevention Act, 1956",59,62,0.353293413173653,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Crime Against Women - Related Acts,"The Indecent Representation of Women Prohibition Act, 2012",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Crime Against Women - Related Acts,"The Protection of Women from Domestic Violence Act, 2005",13,13,0.0778443113772455,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,Environment & Pollution– Related Acts (Total),94,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,Noise Pollution Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,The Air & The Water Prevention & Control of Pollution Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,"The Cigarette and Other Tobacco Products Act, 2003",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,"The Environmental Protection Act, 1986",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,"The Forest Act, 1927 & The Forest Conservation Act, 1980",62,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,"The National Green Tribunal Act, 2010",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Environment & Pollution - Related Acts,"The Wildlife Protection Act, 1972",32,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,Finance & Economic Acts (Total),58,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,"Prevention of Corruption Act, 1988",40,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,"The Benami Transaction Prohibition Act, 1988 & 2016",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,"The Chit Funds Acts, 1982",9,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,"The Lotteries Regulation Act, 1998",2,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,"The Mines and Minerals Development and Regulation Act, 1957",6,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Finance & Economic Acts,"The Negotiable Instruments Act, 1881",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts (Total)",56,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,"Food, Drugs and Essential Commodities Acts","The Essential Commodities Act, 1955",56,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,"Food, Drugs and Essential Commodities Acts","The Food Safety & Standards Act, 2006",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,"Food, Drugs and Essential Commodities Acts","The Prevention of Food Adulteration Act, 1954",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Foreigner & Passport - Related Acts,Foreigner & Passport – Related Acts (Total),42,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Foreigner & Passport - Related Acts,"The Emigration Act, 1983",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Foreigner & Passport - Related Acts,"The Passport Act, 1967",9,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Foreigner & Passport - Related Acts,"The Registration of Foreigners Act,1939 & The Foreigners Act, 1946",32,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,"Food, Drugs and Essential Commodities Acts","The Essential Commodities Act, 1955",439,,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Information Technology/Intellectual Property - Related Acts,Information Technology/ Intellectual Property – Related Acts (Total),1728,1852,5.1,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Information Technology/Intellectual Property - Related Acts,"The Copy Right Act, 1957",72,73,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Information Technology/Intellectual Property - Related Acts,"The Information Technology Act, 2000",1617,1740,4.7,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Information Technology/Intellectual Property - Related Acts,"The Trade Marks Act, 1999",39,39,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Liquor & Narcotic Drugs - Related Acts,Liquor & Narcotic Drugs – Related Acts (Total),549,,1.6,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Liquor & Narcotic Drugs - Related Acts,"The Excise Act, 1944",71,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|The NDPS Act, 1985 (Total)",478,,1.4,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|a) Possession of drugs for Personal use/Consumption",231,,0.7,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|b) Possession of drugs for Trafficking",247,,0.7,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Offences against State - Related Acts,Offences against State - Related Acts (Total),553,,1.62455934195065,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Offences against State - Related Acts,"The Official Secrets Act, 1923",4,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Offences against State - Related Acts,"The Prevention of Damage to Public Property Act, 1984",241,0,0.7,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Offences against State - Related Acts,"The Unlawful Activities P Act, 1967",308,,0.9,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,City/Town Police Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,Defacement of Public Property Acts,1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,MACOCA/ Control of Organised Crimes,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,Motor Vehicle Act,15,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,Other Regulatory & Enforcement – Acts (Total),506,4,1.5,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,Other State Local Acts,5,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Antiques and Art Treasures Act, 1972",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Bonded Labour System Abolition Act|The Bonded Labour System Abolition Act, 1976 (Total)",3,3,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|a) Against SC,2,2,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|b) Against ST,1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|c) Against others,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Electricity Act, 2003",78,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,The Gambling Act,393,,1.2,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Mental Health Act, 1987",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Prevention of Insults to National Honour Act, 1971",8,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Representation of the People Act, 1951",3,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other Regulatory & Enforcement - Acts,"The Transplantation of Human Organs Act, 1994",1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Other SLL Crimes,Other SLL Crimes,1295,0,3.80434782608696,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Railways - Related Acts,Railways – Related Acts (Total),5,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Railways - Related Acts,"The Indian Railways Act, 1989",5,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Railways - Related Acts,"The Railway Property Unlawful Possession Act, 1966",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Schedule Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes – Related Acts (Total),11,12,0.180032733224223,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2019,Children Related - Acts,Children Related – Acts (Total),691,692,5.3,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989 against SCs",8,9,0.358744394618834,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989/2015 against STs",3,3,0.077319587628866,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Telegraph / Cinematograph Acts,Telegraph/ Cinematograph Acts (Total),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Telegraph / Cinematograph Acts,"The Cable Television Networks Regulation Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Telegraph / Cinematograph Acts,"The Indian Telegraph Act, 1988",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Telegraph / Cinematograph Acts,"The Telegraph Wire Unlawful Possession Act, 1950",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,8340,5003,24.5,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total),2684,,2.3,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 | a) Legal/ Licensed Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",2566,,2.2,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |The Arms Act, 1959 (Total)",2566,,2.2,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |b) Illegal/ Unlicensed Arms",2566,,2.2,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959|Other Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Explosive Substances Act, 1884 & 1908",100,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Arms/Explosive - Related Acts,"The Explosives Act, 1984",18,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,Children Related – Acts (Total),2206,2442,4.92630638677981,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,"The Child Labour Prohibition & Regulation Act, 1986",14,14,0.0312639571237159,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,"The Juvenile Justice Care and Protection of Children Act, 2000 & 2015",63,252,0.140687807056722,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,"The Pre-Natal Diagnostic Techniques Reg and Prev of Misuse Act, 1994",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,"The Prohibition of Child Marriage Act, 2006",35,35,0.0781598928092899,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Children Related - Acts,"The Protection of Children from Sexual Offences Act, 2012",2094,2141,4.67619472979008,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Crime Against Women - Related Acts,Crime Against Women – Related Acts (Total),2148,2369,3.7856891082129,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",2094,2311,3.6905181529785,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Crime Against Women - Related Acts,"The Immoral Traffic Prevention Act, 1956",54,58,0.0951709552344025,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Crime Against Women - Related Acts,"The Indecent Representation of Women Prohibition Act, 2012",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Crime Against Women - Related Acts,"The Protection of Women from Domestic Violence Act, 2005",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,Environment & Pollution– Related Acts (Total),152,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,Noise Pollution Acts,3,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,The Air & The Water Prevention & Control of Pollution Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,"The Cigarette and Other Tobacco Products Act, 2003",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,"The Environmental Protection Act, 1986",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,"The Forest Act, 1927 & The Forest Conservation Act, 1980",136,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,"The National Green Tribunal Act, 2010",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Environment & Pollution - Related Acts,"The Wildlife Protection Act, 1972",12,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Finance & Economic Acts,Finance & Economic Acts (Total),2586,,2.2,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Finance & Economic Acts,"Prevention of Corruption Act, 1988",6,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Finance & Economic Acts,"The Chit Funds Acts, 1982",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Finance & Economic Acts,"The Lotteries Regulation Act, 1998",16,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Finance & Economic Acts,"The Mines and Minerals Development and Regulation Act, 1957",2534,,2.1,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Finance & Economic Acts,"The Negotiable Instruments Act, 1881",30,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts (Total)",440,,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,"Food, Drugs and Essential Commodities Acts","The Food Safety & Standards Act, 2006",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,"Food, Drugs and Essential Commodities Acts","The Prevention of Food Adulteration Act, 1954",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Foreigner & Passport - Related Acts,Foreigner & Passport – Related Acts (Total),1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Foreigner & Passport - Related Acts,"The Emigration Act, 1983",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Foreigner & Passport - Related Acts,"The Passport Act, 1967",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Foreigner & Passport - Related Acts,"The Registration of Foreigners Act,1939 & The Foreigners Act, 1946",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Information Technology/Intellectual Property - Related Acts,Information Technology/ Intellectual Property – Related Acts (Total),18,18,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Information Technology/Intellectual Property - Related Acts,"The Copy Right Act, 1957",8,8,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Information Technology/Intellectual Property - Related Acts,"The Information Technology Act, 2000",4,4,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Information Technology/Intellectual Property - Related Acts,"The Trade Marks Act, 1999",6,6,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Liquor & Narcotic Drugs - Related Acts,Liquor & Narcotic Drugs – Related Acts (Total),50883,,43,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),45742,,38.7,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Liquor & Narcotic Drugs - Related Acts,"The Excise Act, 1944",4526,,3.8,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|The NDPS Act, 1985 (Total)",615,,0.5,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|a) Possession of drugs for Personal use/Consumption",477,,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|b) Possession of drugs for Trafficking",138,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Offences against State - Related Acts,Offences against State - Related Acts (Total),58,,0.0490154652243725,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Offences against State - Related Acts,"The Official Secrets Act, 1923",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Offences against State - Related Acts,"The Prevention of Damage to Public Property Act, 1984",24,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Offences against State - Related Acts,"The Unlawful Activities P Act, 1967",34,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,City/Town Police Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,Defacement of Public Property Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,MACOCA/ Control of Organised Crimes,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,Motor Vehicle Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,Other Regulatory & Enforcement – Acts (Total),4234,414,3.6,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,Other State Local Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Antiques and Art Treasures Act, 1972",2,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Bonded Labour System Abolition Act|The Bonded Labour System Abolition Act, 1976 (Total)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|a) Against SC,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|b) Against ST,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|c) Against others,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Electricity Act, 2003",3412,,2.9,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,The Gambling Act,406,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Mental Health Act, 1987",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Prevention of Insults to National Honour Act, 1971",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Representation of the People Act, 1951",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other Regulatory & Enforcement - Acts,"The Transplantation of Human Organs Act, 1994",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Other SLL Crimes,Other SLL Crimes,708,0,0.598326713428547,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Railways - Related Acts,Railways – Related Acts (Total),2,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Railways - Related Acts,"The Indian Railways Act, 1989",2,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Railways - Related Acts,"The Railway Property Unlawful Possession Act, 1966",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Schedule Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes – Related Acts (Total),198,218,1.10552763819095,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989 against SCs",198,218,1.1949305974653,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2019,Arms/Explosive - Related Acts,"The Arms Act, 1959_Fire Arms",1043,,9.3,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989/2015 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Telegraph / Cinematograph Acts,Telegraph/ Cinematograph Acts (Total),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Telegraph / Cinematograph Acts,"The Cable Television Networks Regulation Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Telegraph / Cinematograph Acts,"The Indian Telegraph Act, 1988",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Telegraph / Cinematograph Acts,"The Telegraph Wire Unlawful Possession Act, 1950",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,65904,5461,55.7,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total),10,,0.9,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 | a) Legal/ Licensed Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",9,,0.8,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |The Arms Act, 1959 (Total)",9,,0.8,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |b) Illegal/ Unlicensed Arms",9,,0.8,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959|Other Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
